trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.2, 'e': 0.39999999999999947}",25,11,-13.949790438594809,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.39499999999999946}",30,21,-1.3816963233586446,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.38999999999999946}",20,0,-75.30947707319548,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.2, 'e': 0.38499999999999945}",25,6,17.73695801096124,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.37999999999999945}",20,0,-75.13568640995783,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
125,False,"{'a': 0.2, 'e': 0.37499999999999944}",25,3,-111.90333425746137,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
126,False,"{'a': 0.2, 'e': 0.36999999999999944}",20,0,18.364326127532518,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.36499999999999944}",20,9,20.1300094219164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.35999999999999943}",30,16,-50.988718367228316,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.2, 'e': 0.3549999999999994}",25,0,-64.55579426495157,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
130,False,"{'a': 0.2, 'e': 0.3499999999999994}",30,6,-11.2496503403158,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.3449999999999994}",35,0,-65.11555849690454,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.2, 'e': 0.3399999999999994}",20,0,5.432384994031764,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.2, 'e': 0.3349999999999994}",25,5,-8.910920971491587,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.3299999999999994}",20,12,-1.1997529585860531,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.3249999999999994}",25,3,5.020811920104308,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.3199999999999994}",20,13,11.117415827742796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.3149999999999994}",20,0,14.09139701918619,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.2, 'e': 0.3099999999999994}",20,16,8.787921409370778,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.3049999999999994}",25,4,-21.352020342581493,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.2999999999999994}",20,3,-1.4056597458365352,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.2949999999999994}",25,7,-2.807436973164217,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.28999999999999937}",20,2,-18.092189290556057,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.28499999999999936}",25,19,10.24177167779528,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.27999999999999936}",20,10,-39.4376030721865,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.2, 'e': 0.27499999999999936}",25,16,-7.532086206803006,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.26999999999999935}",25,0,-77.67329221301586,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
